 COURSE CODE; COURSE TITLE; UNITS; GRADE SCORE; GRADE; GRADE POINTS
 ; FIRST SEMESTER; ; ; ;
 CHM101; BASIC PRINCIPLES OF CHEMISTRY I; 2; 65; B; 8
 CHM171; BASIC PRACTICAL CHEMISTRY; 2; 60; B; 8
 ENGR101; INTRO TO ENGINEERING; 2; 60; B; 8
 GSP101; COMMUNICATION IN ENGLISH I; 2; 71; A; 10
 GSP111; INTRO TO THE USE OF LIBRARY; 2; 79; A; 10
 MTH111; ELEMENTARY MATHEMATICS I; 3; 81; A; 15
 MTH121; ELEMENTARY MATHEMATICS II; 3; 88; A; 15
 PHY121; FUNDAMENTALS OF PHYSICS I; 3; 90; A; 15
 PHY195; PRACTICAL PHYSICS II; 2; 95; A; 10
 ; TOTAL UNITS; 21; ; ; 99
